Tn	Tp	Rn	Rp	R1	APDS	wl(A)	n1	n2	n3	n4	n5	n6	n7	n8	n_ibri
0.6966097	0.0000000	0.2733295	0.0000000	0.0000000	0.8787298	6476.6839378	1.5168921	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6976561	0.0000000	0.2711116	0.0000000	0.0000000	0.8758470	6538.7968614	1.5167109	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.6989304	0.0000000	0.2689321	0.0000000	0.0000000	0.8727831	6602.1126761	1.5165308	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.7002127	0.0000000	0.2666290	0.0000000	0.0000000	0.8695542	6666.6666667	1.5163523	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.7016316	0.0000000	0.2643487	0.0000000	0.0000000	0.8662209	6732.4955117	1.5161750	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.7026773	0.0000000	0.2621518	0.0000000	0.0000000	0.8628941	6799.6373527	1.5159992	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.7038602	0.0000000	0.2597486	0.0000000	0.0000000	0.8587730	6868.1318681	1.5158246	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.7050546	0.0000000	0.2572773	0.0000000	0.0000000	0.8546954	6938.0203515	1.5156515	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.7061499	0.0000000	0.2549087	0.0000000	0.0000000	0.8505474	7009.3457944	1.5154794	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.7075315	0.0000000	0.2526028	0.0000000	0.0000000	0.8461630	7082.1529745	1.5153089	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.7084472	0.0000000	0.2503034	0.0000000	0.0000000	0.8418692	7156.4885496	1.5151395	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.7097416	0.0000000	0.2480680	0.0000000	0.0000000	0.8373109	7232.4011572	1.5149711	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.7104383	0.0000000	0.2455109	0.0000000	0.0000000	0.8318861	7309.9415205	1.5148045	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.7115001	0.0000000	0.2431028	0.0000000	0.0000000	0.8261182	7389.1625616	1.5146388	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.7124713	0.0000000	0.2404071	0.0000000	0.0000000	0.8196482	7470.1195219	1.5144742	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
0.7131871	0.0000000	0.2378337	0.0000000	0.0000000	0.8126880	7552.8700906	1.5143112	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
