eTn	eTp	eRn	eRp	eR1	eAPDS	eLETT	k1	k2	k3	k4	k5	k6	k7	k8	k_ibri
0.0020206	1.0000000	0.0025474	1.0000000	1.0000000	1.0000000	0.0005024	0.0000007	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020235	1.0000000	0.0025322	1.0000000	1.0000000	1.0000000	0.0005024	0.0000008	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020258	1.0000000	0.0025170	1.0000000	1.0000000	1.0000000	0.0005024	0.0000008	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020287	1.0000000	0.0025032	1.0000000	1.0000000	1.0000000	0.0005023	0.0000009	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020314	1.0000000	0.0024879	1.0000000	1.0000000	1.0000000	0.0005023	0.0000009	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020349	1.0000000	0.0024703	1.0000000	1.0000000	1.0000000	0.0005023	0.0000010	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020372	1.0000000	0.0024543	1.0000000	1.0000000	1.0000000	0.0005023	0.0000010	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020400	1.0000000	0.0024386	1.0000000	1.0000000	1.0000000	0.0005023	0.0000011	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020428	1.0000000	0.0024221	1.0000000	1.0000000	1.0000000	0.0005024	0.0000012	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020460	1.0000000	0.0024057	1.0000000	1.0000000	1.0000000	0.0005024	0.0000012	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020483	1.0000000	0.0023899	1.0000000	1.0000000	1.0000000	0.0005024	0.0000013	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020510	1.0000000	0.0023727	1.0000000	1.0000000	1.0000000	0.0005025	0.0000014	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020538	1.0000000	0.0023550	1.0000000	1.0000000	1.0000000	0.0005026	0.0000015	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020563	1.0000000	0.0023381	1.0000000	1.0000000	1.0000000	0.0005028	0.0000016	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020595	1.0000000	0.0023217	1.0000000	1.0000000	1.0000000	0.0005030	0.0000017	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020618	1.0000000	0.0023054	1.0000000	1.0000000	1.0000000	0.0005032	0.0000018	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020650	1.0000000	0.0022897	1.0000000	1.0000000	1.0000000	0.0005036	0.0000019	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020671	1.0000000	0.0022718	1.0000000	1.0000000	1.0000000	0.0005041	0.0000020	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020701	1.0000000	0.0022551	1.0000000	1.0000000	1.0000000	0.0005048	0.0000021	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020732	1.0000000	0.0022367	1.0000000	1.0000000	1.0000000	0.0005057	0.0000022	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020761	1.0000000	0.0022195	1.0000000	1.0000000	1.0000000	0.0005071	0.0000024	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020809	1.0000000	0.0022037	1.0000000	1.0000000	1.0000000	0.0005092	0.0000026	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020859	1.0000000	0.0021873	1.0000000	1.0000000	1.0000000	0.0005123	0.0000027	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
0.0020931	1.0000000	0.0021742	1.0000000	1.0000000	1.0000000	0.0005174	0.0000028	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.0000000	
