wl(nm)	eTn	eTp	eRn	eRp	eR1	eAPDS	eDEL_1	ePSI_1	eDEL_2	ePSI_2	eDEL_3	ePSI_3	eDEL_4	ePSI_4
653.88	0.0000000	0.0000000	0.0000000	0.0000000	0.0074268	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
660.211	0.0000000	0.0000000	0.0000000	0.0000000	0.0074264	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
666.667	0.0000000	0.0000000	0.0000000	0.0000000	0.0074282	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
673.25	0.0000000	0.0000000	0.0000000	0.0000000	0.0074317	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
679.964	0.0000000	0.0000000	0.0000000	0.0000000	0.0074366	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
686.813	0.0000000	0.0000000	0.0000000	0.0000000	0.0074366	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
693.802	0.0000000	0.0000000	0.0000000	0.0000000	0.0074375	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
700.935	0.0000000	0.0000000	0.0000000	0.0000000	0.0074380	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
708.215	0.0000000	0.0000000	0.0000000	0.0000000	0.0074400	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
715.649	0.0000000	0.0000000	0.0000000	0.0000000	0.0074459	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
723.24	0.0000000	0.0000000	0.0000000	0.0000000	0.0074536	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
730.994	0.0000000	0.0000000	0.0000000	0.0000000	0.0074544	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
738.916	0.0000000	0.0000000	0.0000000	0.0000000	0.0074563	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
747.012	0.0000000	0.0000000	0.0000000	0.0000000	0.0074550	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
755.287	0.0000000	0.0000000	0.0000000	0.0000000	0.0074575	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
763.747	0.0000000	0.0000000	0.0000000	0.0000000	0.0074586	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
772.4	0.0000000	0.0000000	0.0000000	0.0000000	0.0074628	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
781.25	0.0000000	0.0000000	0.0000000	0.0000000	0.0074729	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
790.306	0.0000000	0.0000000	0.0000000	0.0000000	0.0074710	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
799.574	0.0000000	0.0000000	0.0000000	0.0000000	0.0074931	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
809.061	0.0000000	0.0000000	0.0000000	0.0000000	0.0075175	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
818.777	0.0000000	0.0000000	0.0000000	0.0000000	0.0075665	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
828.729	0.0000000	0.0000000	0.0000000	0.0000000	0.0077403	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
838.926	0.0000000	0.0000000	0.0000000	0.0000000	0.0081966	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
849.377	0.0000000	0.0000000	0.0000000	0.0000000	0.0092002	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
860.092	0.0000000	0.0000000	0.0000000	0.0000000	0.0099485	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
871.08	0.0000000	0.0000000	0.0000000	0.0000000	0.0074006	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
882.353	0.0000000	0.0000000	0.0000000	0.0000000	0.0073957	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
893.921	0.0000000	0.0000000	0.0000000	0.0000000	0.0074028	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
